SolutionName,Links
Analytics Advisory,https://whatwesell.dxc.com/dxc/offerings/analytics/
Analytics and Big Data Platform,https://whatwesell.dxc.com/dxc/offerings/analytics/
Analytics Solutions and Services,https://whatwesell.dxc.com/dxc/offerings/analytics/
Artificial Intelligence and IoT Analytics,https://whatwesell.dxc.com/dxc/offerings/analytics/
Fraud Detection and Management,https://whatwesell.dxc.com/dxc/offerings/analytics/
Information Governance,https://whatwesell.dxc.com/dxc/offerings/analytics/
Managed BI and Analytics,https://whatwesell.dxc.com/dxc/offerings/analytics/
Applications Development,https://whatwesell.dxc.com/dxc/offerings/applications/
Applications Management Services,https://whatwesell.dxc.com/dxc/offerings/applications/
Testing and Digital Assurance,https://whatwesell.dxc.com/dxc/offerings/applications/
Agile Process Automation,https://whatwesell.dxc.com/dxc/offerings/business-process-services/
Cards and Payment Services,https://whatwesell.dxc.com/dxc/offerings/business-process-services/
Customer Experience,https://whatwesell.dxc.com/dxc/offerings/business-process-services/
Digitization,https://whatwesell.dxc.com/dxc/offerings/business-process-services/
Finance and Administration Services,https://whatwesell.dxc.com/dxc/offerings/business-process-services/
HR and Payroll Services,https://whatwesell.dxc.com/dxc/offerings/business-process-services/
AWS Cloud Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Azure Cloud Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Cloud and Platform Advisory Solutions,https://whatwesell.dxc.com/dxc/offerings/cloud/
Cloud and Platform Modernization and Transformation Solutions,https://whatwesell.dxc.com/dxc/offerings/cloud/
Continuity Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Datacenter and Infrastructure Project Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Integration Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Legacy ITO - Renewals Only,https://whatwesell.dxc.com/dxc/offerings/cloud/
Mainframe Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Managed Container Platform as a Service,https://whatwesell.dxc.com/dxc/offerings/cloud/
Midrange Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Multisupplier Integration and ITSM-ESM Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Network Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
PaaS for SAP,https://whatwesell.dxc.com/dxc/offerings/cloud/
Public Cloud Development Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Storage Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Virtual Private Cloud Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
VMware Cloud Services,https://whatwesell.dxc.com/dxc/offerings/cloud/
Digital Business Platforms Consulting,https://whatwesell.dxc.com/dxc/offerings/consulting/
Digital Industries and Analytics Consulting,https://whatwesell.dxc.com/dxc/offerings/consulting/
Digital Infrastructure Platforms Consulting,https://whatwesell.dxc.com/dxc/offerings/consulting/
Digital Strategy and Transformation Consulting,https://whatwesell.dxc.com/dxc/offerings/consulting/
Digital Workplace Platforms Consulting,https://whatwesell.dxc.com/dxc/offerings/consulting/
Automotive Solutions,https://whatwesell.dxc.com/dxc/offerings/cross-offering-solutions/
Manufacturing Solutions,https://whatwesell.dxc.com/dxc/offerings/cross-offering-solutions/
Business Process Services Advisory,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
Cloud and Mobile Applications,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
Emerging Practices - Workday,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
Emerging Practices - IBM,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
Emerging Practices,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
Emerging Practices - Salesforce,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
Enterprise and Cloud Apps Advisory,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
Microsoft Dynamics Applications,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
Oracle Applications,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
SAP Applications,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
ServiceNow Applications,https://whatwesell.dxc.com/dxc/offerings/enterprise-cloud-applications/
Banking Advisory,https://whatwesell.dxc.com/dxc/offerings/iss-banking/
Core Banking,https://whatwesell.dxc.com/dxc/offerings/iss-banking/
Fixnetix,https://whatwesell.dxc.com/dxc/offerings/iss-banking/
Lending,https://whatwesell.dxc.com/dxc/offerings/iss-banking/
Payments,https://whatwesell.dxc.com/dxc/offerings/iss-banking/
Connected Ecosystem,https://whatwesell.dxc.com/dxc/offerings/iss-healthcare-life-sciences/
Consumer-Centric Payer,https://whatwesell.dxc.com/dxc/offerings/iss-healthcare-life-sciences/
Digital Care Transformation,https://whatwesell.dxc.com/dxc/offerings/iss-healthcare-life-sciences/
Healthcare and Life Sciences Advisory,https://whatwesell.dxc.com/dxc/offerings/iss-healthcare-life-sciences/
LS Regulatory Transformation,https://whatwesell.dxc.com/dxc/offerings/iss-healthcare-life-sciences/
Population Health,https://whatwesell.dxc.com/dxc/offerings/iss-healthcare-life-sciences/
Claims,https://whatwesell.dxc.com/dxc/offerings/iss-insurance/
Digital Insurance,https://whatwesell.dxc.com/dxc/offerings/iss-insurance/
Insurance Advisory,https://whatwesell.dxc.com/dxc/offerings/iss-insurance/
Insurance BPS,https://whatwesell.dxc.com/dxc/offerings/iss-insurance/
Life and Annuity,https://whatwesell.dxc.com/dxc/offerings/iss-insurance/
Multi-Line and Multi-National,https://whatwesell.dxc.com/dxc/offerings/iss-insurance/
Property and Casualty,https://whatwesell.dxc.com/dxc/offerings/iss-insurance/
Reinsurance,https://whatwesell.dxc.com/dxc/offerings/iss-insurance/
Airline - Consumer Travel,https://whatwesell.dxc.com/dxc/offerings/iss-travel-transportation/
Airline - Operations,https://whatwesell.dxc.com/dxc/offerings/iss-travel-transportation/
"Freight, Logistics, and Rail",https://whatwesell.dxc.com/dxc/offerings/iss-travel-transportation/
Travel and Transportation Advisory,https://whatwesell.dxc.com/dxc/offerings/iss-travel-transportation/
Cloud Security Services,https://whatwesell.dxc.com/dxc/offerings/security/
Data Protection and Privacy,https://whatwesell.dxc.com/dxc/offerings/security/
Identity and Access Management,https://whatwesell.dxc.com/dxc/offerings/security/
Infrastructure and Endpoint Security,https://whatwesell.dxc.com/dxc/offerings/security/
Intelligent Security Operations,https://whatwesell.dxc.com/dxc/offerings/security/
Security Advisory,https://whatwesell.dxc.com/dxc/offerings/security/
Security Risk Management,https://whatwesell.dxc.com/dxc/offerings/security/
Threat and Vulnerability Management,https://whatwesell.dxc.com/dxc/offerings/security/
Campus and Connectivity Networks,https://whatwesell.dxc.com/dxc/offerings/workplace-and-mobility/
Enterprise Mobility Services,https://whatwesell.dxc.com/dxc/offerings/workplace-and-mobility/
Productivity Applications,https://whatwesell.dxc.com/dxc/offerings/workplace-and-mobility/
Software Licensing and Management,https://whatwesell.dxc.com/dxc/offerings/workplace-and-mobility/
Support Services,https://whatwesell.dxc.com/dxc/offerings/workplace-and-mobility/
Unified Communications,https://whatwesell.dxc.com/dxc/offerings/workplace-and-mobility/
Virtual Desktop Services,https://whatwesell.dxc.com/dxc/offerings/workplace-and-mobility/
Workplace and Mobility Advisory,https://whatwesell.dxc.com/dxc/offerings/workplace-and-mobility/
Workplace Device Services,https://whatwesell.dxc.com/dxc/offerings/workplace-and-mobility/
